title,difficulty,labels,body
"Initialize Vite + React project","easy","difficulty:easy,tag:setup","Create the app using Vite + React. Commit initial setup."
"Clean default template","easy","difficulty:easy,tag:setup","Remove boilerplate, simplify App, remove unused assets."
"Create folder structure (components/pages/services/styles)","easy","difficulty:easy,tag:setup","Set up a clear folder structure for the project."
"Add global CSS reset + base styles","easy","difficulty:easy,tag:styling","Add index.css with reset, typography, layout defaults."
"Create base page layout (shell)","easy","difficulty:easy,tag:frontend","Create the main layout containers for lists and controls."
"Create StudentList component","easy","difficulty:easy,tag:frontend","Create StudentList to render a list of Person items."
"Create NotPresentList component","easy","difficulty:easy,tag:frontend","Create NotPresentList component shell."
"Create MixedList component","easy","difficulty:easy,tag:frontend","Create MixedList component shell."
"Create Person component","easy","difficulty:easy,tag:frontend","Create Person component to display student info."
"Add basic styling to Person card","easy","difficulty:easy,tag:styling","Style Person card (padding, border, hover)."
"Add layout styling for StudentList (wrap/grid)","easy","difficulty:easy,tag:styling","Make Person cards wrap nicely and look consistent."
"Add layout styling for the full page (2 columns)","medium","difficulty:medium,tag:styling","Layout: present/not-present left, mixed right; responsive behavior."
"Add mock student data (temporary)","easy","difficulty:easy,tag:data","Create initial mocked students array for development."
"Store students in App state","easy","difficulty:easy,tag:frontend","Lift state to App; pass students via props."
"Toggle isPresent by clicking a Person","medium","difficulty:medium,tag:ui","Click student to toggle present/not present."
"Visually indicate present vs not present","easy","difficulty:easy,tag:ui","Add styles/labels to show presence clearly."
"Filter present vs not present into two lists","medium","difficulty:medium,tag:data","Derive present/not-present lists from state."
"Show count of present students","easy","difficulty:easy,tag:ui","Display a counter for present students."
"Add button: Mark all present","easy","difficulty:easy,tag:ui","Button to set all students to present."
"Add button: Reset attendance","easy","difficulty:easy,tag:ui","Reset to default attendance state."
"Disable Mix button if fewer than 2 present","easy","difficulty:easy,tag:ui","Prevent mixing when not enough present students."
"Add empty-state UI when lists are empty","easy","difficulty:easy,tag:ui","Show helpful messages when no students / no present."
"Implement shuffle utility","medium","difficulty:medium,tag:data","Create a shuffle function (e.g., Fisher–Yates)."
"Implement pairing logic (2 & 2)","medium","difficulty:medium,tag:data","Group shuffled present students into pairs."
"Handle odd number of students (3rd in a group or leftover)","medium","difficulty:medium,tag:data","Decide and implement behavior for odd counts."
"Render pairs in MixedList","easy","difficulty:easy,tag:frontend","Display mixed pairs clearly."
"Add Mix button action","easy","difficulty:easy,tag:ui","Button triggers shuffle + pairing."
"Add “Mix again” button","easy","difficulty:easy,tag:ui","Re-run mixing without changing attendance."
"Add sorting toggle (alphabetical)","medium","difficulty:medium,tag:ui","Toggle sort order for student display."
"Add simple animation/transition on mixing","medium","difficulty:medium,tag:ui","Add a small UI transition to indicate mixing happened."
"Add search/filter by name","medium","difficulty:medium,tag:ui","Input to filter students by name."
"Move student data into JSON file (dev)","easy","difficulty:easy,tag:data","Use a local JSON file as data source during development."
"Create service module for API calls (studentsService)","easy","difficulty:easy,tag:frontend","Centralize fetch calls in a service file."
"Fetch students from backend on load (useEffect)","medium","difficulty:medium,tag:frontend","Replace mock data with fetched data."
"Add loading state UI","easy","difficulty:easy,tag:ui","Show spinner/loading text while fetching."
"Add error state UI + retry","medium","difficulty:medium,tag:ui","Display error and provide retry action."
"Create backend API (students endpoints)","hard","difficulty:hard,tag:backend","Implement GET students (and later POST/DELETE/PATCH)."
"Create database + students table","hard","difficulty:hard,tag:backend","Create DB schema for students (id, firstname, lastname, isPresent)."
"Implement GET /students returning JSON","medium","difficulty:medium,tag:backend","Return list of students from DB."
"Implement PATCH /students/:id (toggle isPresent)","hard","difficulty:hard,tag:backend","Persist attendance toggles server-side."
"Implement POST /students (add new student)","hard","difficulty:hard,tag:backend","Create new student record; validate input."
"Implement DELETE /students/:id (remove student)","medium","difficulty:medium,tag:backend","Delete student record by id."
"Add UI: remove student from list","medium","difficulty:medium,tag:ui","Add remove button per student (with confirm)."
"Add UI: add student form","medium","difficulty:medium,tag:ui","Form to add student; client-side validation."
"Persist add/remove/toggle from UI to backend","hard","difficulty:hard,tag:data","Wire UI actions to POST/PATCH/DELETE; update state correctly."
"Add basic integration tests for mixing logic","medium","difficulty:medium,tag:testing","Test shuffle/pairing logic (deterministic approach if needed)."
"Add basic UI tests or manual test checklist","easy","difficulty:easy,tag:testing","Create a checklist or minimal tests for key flows."
"Write README (setup + run + deploy)","easy","difficulty:easy,tag:docs","Add clear instructions and project description."
"Create GitHub Project board + workflow columns","easy","difficulty:easy,tag:collaboration","Set up Todo/In Progress/Review/Done and add issues."
"Practice PR workflow (branch naming + PR template)","medium","difficulty:medium,tag:collaboration","Create PR template or conventions; ensure issues linked."
"Deploy frontend to Vercel","medium","difficulty:medium,tag:devops","Deploy Vite app to Vercel; set env vars if needed."
"Deploy backend to Render (or similar)","hard","difficulty:hard,tag:devops","Deploy API + DB connection; ensure it runs in production."
"Connect deployed frontend to deployed backend","medium","difficulty:medium,tag:devops","Update API base URL; verify production fetch works."
